"article_id","title","description","link","timestamp","clicks","journal"
"8887","Volunteer Police: What Predicts Confidence in Training?","Criminal Justice Policy Review, Ahead of Print. &lt;br/&gt;","http://journals.sagepub.com/doi/abs/10.1177/0887403417749875?ai=2b4&amp;mi=ehikzz&amp;af=R","2018-01-01 07:00:35","128","Criminal Justice Policy Review"
"8888","Book Review: Alan Norrie, Justice and the Slaughter Bench","Theoretical Criminology, Ahead of Print. &lt;br/&gt;","http://journals.sagepub.com/doi/abs/10.1177/1362480617751298?ai=2b4&amp;mi=ehikzz&amp;af=R","2018-01-01 08:16:52","54","Theoretical Criminology"
"8889","Governing Illicit Finance in Transnational Security Spaces: the Fatf and Anti-Money Laundering","<h3>Abstract</h3>
                  <p>This article analyzes the global anti-money laundering (AML) regime from the perspective of security governance, examining the creation of a transnational security space by the FATF. Security is often mentioned as relevant context for AML measures, and the Financial Action Taskforce (FATF) as its central institution. Yet, most analyses &ndash; implicitly or explicitly &ndash; present the FATF as an important banking regulator. Arguing that this perspective on the FATF is too limited, the article outlines the changing security context in which AML emerged as an important tool for governance. Unlike traditional ideas of international security, the idea of security governance emphasizes new forms of cooperation to ensure safety and security across multiple levels. Based on International Relations (IR) and criminological research, the article develops a framework with five dimensions of security governance: a comprehensive security concept, multi-purpose rationalization, public-private cooperation, multi-nodal governance, and transnational security spaces as a result. Unlike other efforts of global crime governance, the global AML regime provides a prime example of security governance in all of these dimensions. At the same time, the link to security also explains why the global AML regime expanded in some areas more than in others: AML is still a weak governance instrument for regulating financial crimes such as tax evasion or corruption, but it is a strong one for security-related crimes. While the FATF remains a special case in global governance, the creation of transnational security spaces in AML &ndash; caused by FATF activities &ndash; is likely to be a model for future security governance in other fields.</p>","http://link.springer.com/10.1007/s10611-017-9750-y","2018-01-02 10:15:22","48","Crime, Law and Social Change"
"8890","Single Crewing in English and Welsh Policing: Frequency and Associations With Violence Towards and Injuries in Officers",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/10439463.2017.1417990?ai=x2&amp;mi=fnpx1z&amp;af=R","2018-01-02 11:01:36","81","Policing and Society"
"8891","Client Privilege, Compliance and the Rule of Law: Swedish Lawyers and Money Laundering Prevention","<h3>Abstract</h3>
                  <p>Can, and will, lawyers police their clients? This article aims to shed light on the private front-line workers of the Financial Action Task Force on money laundering (FATF). The analysis is based on a study of how Swedish lawyers perceive and handle obligations to police clients within FATF style risk-based anti-money laundering/counter terrorism (AML/CTF) regulation. We find that the lawyers were reluctant to taking on the responsibility for AML/CTF, and that their front-line work was directed towards being compliant enough. Relatedly, we identify several practices of separation that serve to mediate between the conflicting aims and interests in the everyday of this form of private policing. Another finding is that the lawyers by and large position themselves as knowledgeable actors, and view risks of AML/CTF as knowable. Nevertheless, lawyers experienced a principle clash between being &lsquo;not banks&rsquo;, and being front-line workers for FATF. In particular, the lawyers perceived their role as front-line workers to be more complex due to their professional norms and ethics on client privilege, and what they saw as the proper role of lawyers, being in conflict with the obligation to report clients and their transactions. In concluding, we suggest that paying more attention to the everyday experience of front-line workers when devising regulatory tools may be a way to promote engagement in &lsquo;true&rsquo; crime prevention on their part.</p>","http://link.springer.com/10.1007/s10611-017-9753-8","2018-01-02 11:30:25","51","Crime, Law and Social Change"
"8892","The Dark Past of Rhode Island in New Light",,"http://digitalcommons.uri.edu/dignity/vol3/iss1/5","2018-01-02 19:45:37","64","Dignity: A Journal on Sexual Exploitation and Violence"
"8893","Book Review: Surrogacy: A Human Rights Violation By Renate Klein",,"http://digitalcommons.uri.edu/dignity/vol3/iss1/6","2018-01-02 20:15:37","73","Dignity: A Journal on Sexual Exploitation and Violence"
"8894","Sexual Violence on Campus: No Evidence That Studies Are Biased Due to Self-Selection","<p>Numerous research studies suggest that at least one in five female college students is sexually assaulted while enrolled. However, many studies exploring sexual violence prevalence on campus use methodology permitting students to self-select into the study based on interest in the topic (i.e., students receive an email offering them the opportunity to participate in a study on sexual violence). Self-selection may bias these prevalence estimates of campus sexual violence. To explore this issue, we surveyed two samples of college women on their experiences of sexual assault. We recruited Sample 1 in a typical way: by emailing a randomly selected subset of students provided by the university registrar and inviting participation with information about the survey topic. We recruited Sample 2 using a human subjects pool where students in introductory psychology and linguistics courses sign up for studies without prior knowledge about the topic of the research they will participate in (hence greatly minimizing the risk of self-selection). The two samples yielded nearly identical victimization rates. Over a quarter of participants in both our samples had experienced sexual contact without consent, consistent with recent research from the Association of American Universities. College victimization estimates do not appear to be biased by self-selection based on knowledge of the survey topic.</p>","http://digitalcommons.uri.edu/dignity/vol3/iss1/7","2018-01-02 20:45:37","83","Dignity: A Journal on Sexual Exploitation and Violence"
"8895","Experiences of Sexual Harassment Are Associated With the Sexual Behavior of 14- to 18-Year-Old Adolescents","Publication date: <pubdate>March 2018</pubdate><br><b>Source:</b>Child Abuse &amp;amp; Neglect, Volume 77<br>     Author(s): Riittakerttu   Kaltiala-Heino, Hanna   Savioja, Sari   Fr&ouml;jd, Mauri   Marttunen<br><abstract-sec ns2=""http://webservices.elsevier.com/schemas/search/fast/types/v4"" soapenv=""http://schemas.xmlsoap.org/soap/envelope/"" view=""all""><simple-para view=""all"">Subjection to sexual harassment is associated with a number of negative outcomes, such as internalizing and externalizing symptoms and a disinclination to attend school. Among adolescents, sexual harassment may increase with both their emerging sexual desires and increased socializing in mixed-gender peer groups during early adolescence. We set out to study the possible associations between normative and risk-taking sexual behavior and subjection to sexual harassment among adolescents between the ages of 14 and 18&#8239;years. The informants included 90,953 boys and 91,746 girls, with a mean (SD) age of 16.3 (1.2) years, who responded to a classroom survey (School Health Promotion Study 2010&ndash;2011) in Finland. We found that even early steps in romantic and erotic experiences were associated with experiences of sexual harassment. The more advanced the adolescents&rsquo; sexual experiences were, the more commonly they reported differing experiences of sexual harassment. These associations were particularly strong among the girls. Among the sexually active adolescents, the more partners the adolescents had for intercourse, the more commonly they reported experiences of sexual harassment. Adolescents actively interested in romantic and sexual relationships may socialize in contexts where sexual harassment is more likely to occur. They may be more sensitive to sexual cues than their non-interested peers, or sexual harassment may be a traumatic experience predisposing adolescents to risk-taking sexual behavior as a form of acting out. A double standard regarding the appropriate expression of sexuality received some support in our data.</simple-para></abstract-sec><br><br>","http://rss.sciencedirect.com/action/redirectFile?&amp;zone=main&amp;currentActivity=feed&amp;usageType=outward&amp;url=http%3A%2F%2Fwww.sciencedirect.com%2Fscience%3F_ob%3DGatewayURL%26_origin%3DIRSSSEARCH%26_method%3DcitationSearch%26_piikey%3DS0145213417304623%26_version%3D1%26md5%3D4abceee826f9a34aa86ba0dff6ea6138","2018-01-02 21:30:17","69","Child Abuse and Neglect"
"8896","Me, Myself and I: the Sociology of Policing Male Rape, the Gaze of the â€˜otherâ€™",". &lt;br/&gt;","http://www.tandfonline.com/doi/full/10.1080/15614263.2017.1422736?ai=x6&amp;mi=fnpx1z&amp;af=R","2018-01-03 10:46:33","82","Police Practice and Research"
