"journal_id","name","publisher","homepage","impact"
"1","Aggression and Violent Behavior","Elsevier","http://www.journals.elsevier.com/aggression-and-violent-behavior/","36"
"2","Australian and New Zealand Journal of Criminology","Sage","http://anj.sagepub.com","14"
"3","British Journal of Criminology","Oxford University Press","http://bjc.oxfordjournals.org/","32"
"69","Perspectives on Terrorism","Terrorism Research Initiative","http://www.terrorismanalysts.com/pt/","11"
"5","Crime and Delinquency","Sage","http://cad.sagepub.com/","25"
"6","Crime and Justice","University of Chicago Press","http://www.press.uchicago.edu/ucp/journals/journal/cj.html","0"
"7","Crime, Law and Social Change","Springer","http://link.springer.com/journal/10611","17"
"8","Crime, Media, Culture","Sage","http://cmc.sagepub.com","14"
"9","Crime Prevention and Community Safety","Palgrave","http://www.palgrave-journals.com/cpcs/","10"
"10","Crime Science","Springer","http://crimesciencejournal.springeropen.com/","0"
"11","Criminal Behaviour and Mental Health","Wiley","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1471-2857","20"
"12","Criminal Justice and Behaviour","Sage","http://cjb.sagepub.com/","32"
"13","Criminal Justice Matters","Taylor and Francis","http://www.tandfonline.com/loi/rcjm20","7"
"14","Criminology","Wiley","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-9125","39"
"15","Criminology and Criminal Justice","Sage","http://crj.sagepub.com/","19"
"16","Criminology and Public Policy","Wiley","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-9133","27"
"17","Critical Criminology","Springer","http://link.springer.com/journal/10612","12"
"18","Deviant Behavior","Taylor and Francis","http://www.tandfonline.com/loi/udbh20","15"
"19","European Journal of Criminology","Sage","http://euc.sagepub.com/","21"
"20","European Journal on Criminal Policy and Research","Springer","http://link.springer.com/journal/10610","13"
"21","Feminist Criminology","Sage","http://fcx.sagepub.com/","16"
"22","Research and Analysis publications","Home Office","https://www.gov.uk/government/publications?keywords=&publication_filter_option=research-and-analysis&departments%5B%5D=home-office","0"
"23","Homicide Studies","Sage","http://hsx.sagepub.com/","15"
"25","International Journal of Law, Crime and Justice","Elsevier","http://www.sciencedirect.com/science/journal/17560616","9"
"26","International Journal of Offender Therapy and Comparative Criminology","Sage","http://ijo.sagepub.com/","23"
"27","International Journal of Speech Language and the Law","Equinox","http://www.equinoxpub.com/journals/index.php/IJSLL","8"
"28","Journal of Aggression, Maltreatment and Trauma","Taylor and Francis","http://www.tandfonline.com/loi/wamt20","19"
"29","Journal of Contemporary Criminal Justice","Sage","http://ccj.sagepub.com/","16"
"30","Journal of Criminal Justice","Elsevier","http://www.sciencedirect.com/science/journal/00472352","31"
"31","Journal of Criminal Law and Criminology","Northwestern University","http://scholarlycommons.law.northwestern.edu/jclc/","23"
"32","Journal of Experimental Criminology","Springer","http://link.springer.com/journal/11292","20"
"36","Journal of Interpersonal Violence","Sage","http://jiv.sagepub.com/","35"
"37","Journal of Investigative Psychology and Offender Profiling","Wiley","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1544-4767","14"
"38","Journal of Quantitative Criminology","Springer","http://link.springer.com/journal/10940","25"
"39","Journal of Research in Crime and Delinquency","Sage","http://jrc.sagepub.com/","28"
"40","Journal of Sexual Aggression","Taylor and Francis","http://www.tandfonline.com/loi/tjsa20","16"
"41","Justice Quarterly","Taylor and Francis","http://www.tandfonline.com/loi/rjqy20","30"
"42","Legal and Criminological Psychology","Wiley","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2044-8333","20"
"43","Police Quarterly","Sage","http://pqx.sagepub.com/","0"
"44","Policing: a Journal of Policy and Practice","Oxford University Press","http://policing.oxfordjournals.org/","13"
"45","Policing: An International Journal of Police Strategies and Management","Emerald Insight","http://www.emeraldinsight.com/journal/pijpsm","15"
"46","Policing and Society","Taylor and Francis",,"15"
"47","Prison Journal","Sage","http://tpj.sagepub.com/","18"
"48","Psychiatry, Psychology and Law","Taylor and Francis","http://www.tandfonline.com/loi/tppl20","11"
"49","Psychology, Crime and Law","Taylor and Francis","http://www.tandfonline.com/loi/gpcl20","21"
"50","Psychology of Violence","American Psychological Association","http://www.apa.org/pubs/journals/vio/","19"
"51","Punishment and Society","Sage","http://pun.sagepub.com/","17"
"52","Security Journal","Palgrave","http://www.palgrave-journals.com/sj/","12"
"53","Sexual Abuse: Journal of Research and Treatment","Sage","http://sax.sagepub.com/","23"
"54","Social and Legal Studies","Sage","http://sls.sagepub.com/","13"
"55","Theoretical Criminology","Sage","http://tcr.sagepub.com/","22"
"56","Trauma, Violence and Abuse","Sage","http://tva.sagepub.com/","24"
"57","Youth Violence and Juvenile Justice","Sage","http://yvj.sagepub.com/","20"
"59","American Journal of Criminal Justice","Springer","http://link.springer.com/journal/12103","14"
"60","Howard Journal of Criminal Justice","Wiley","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-2311","12"
"61","Journal of Policing, Intelligence and Counter Terrorism","Taylor and Francis","http://www.tandfonline.com/loi/rpic20","10"
"62","Terrorism and Political Violence","Taylor and Francis","http://www.tandfonline.com/loi/ftpv20","18"
"63","Critical Studies on Terrorism","Taylor and Francis","http://www.tandfonline.com/loi/rter20","10"
"64","Behavioral Sciences of Terrorism and Political Aggression","Taylor and Francis","http://www.tandfonline.com/loi/rirt20","0"
"65","Journal of Applied Security Research","Taylor and Francis","http://www.tandfonline.com/loi/wasr20","6"
"66","Dynamics of Asymmetric Conflict: Pathways toward terrorism and genocide","Taylor and Francis","http://www.tandfonline.com/loi/rdac20","0"
"67","Studies in Conflict and Terrorism","Taylor and Francis","http://www.tandfonline.com/loi/uter20","18"
"68","Global Crime","Taylor and Francis","http://www.tandfonline.com/loi/fglc20","13"
"83","Asian Journal of Criminology","Springer","http://link.springer.com/journal/11417","7"
"71","Contemporary Justice Review","Taylor and Francis","http://www.tandfonline.com/loi/gcjr20","10"
"72","Criminal Justice Ethics","Taylor and Francis","http://www.tandfonline.com/loi/rcre20","0"
"73","Criminal Justice Review","Sage","http://cjr.sagepub.com","12"
